1,5,5,1
4,2,5,2
7,6,9,3
1,1,8,4
2,1,8,4
1,4,8,5
2,4,8,5
1,6,11,6
2,6,11,6
2,5,9,7
3,5,9,7
3,3,6,8
4,3,6,8
3,4,17,9
4,4,17,9
3,6,4,10
4,6,4,10
3,7,13,11
3,8,13,11
4,5,11,12
5,5,11,12
5,1,13,13
5,2,13,13
5,6,14,14
5,7,14,14
6,4,7,15
6,5,7,15
7,4,9,16
8,4,9,16
7,7,11,17
7,8,11,17
8,2,13,18
8,3,13,18
9,1,17,19
9,2,17,19
9,3,6,20
9,4,6,20
9,8,13,21
8,8,13,21
3,1,15,22
3,2,15,22
4,1,15,22
1,7,6,23
2,7,6,23
2,8,6,23
4,7,14,24
4,8,14,24
4,9,14,24
5,8,8,25
5,9,8,25
6,9,8,25
5,3,18,26
5,4,18,26
6,3,18,26
6,1,7,27
7,1,7,27
8,1,7,27
6,2,11,28
7,2,11,28
7,3,11,28
6,6,20,29
6,7,20,29
6,8,20,29
7,9,12,30
8,9,12,30
9,9,12,30
8,6,17,31
8,7,17,31
9,7,17,31
1,2,24,32
1,3,24,32
2,2,24,32
2,3,24,32
1,8,26,33
1,9,26,33
2,9,26,33
3,9,26,33
7,5,18,34
8,5,18,34
9,5,18,34
9,6,18,34
