1,5,5,4
4,2,5,9
7,6,9,28
1,1,8,1
2,1,8,1
1,4,8,3
2,4,8,3
1,6,11,5
2,6,11,5
2,5,9,12
3,5,9,12
3,3,6,10
4,3,6,10
3,6,4,13
4,6,4,13
3,7,13,14
3,8,13,14
5,1,13,16
5,2,13,16
4,5,11,18
5,5,11,18
5,6,14,19
5,7,14,19
6,4,7,23
6,5,7,23
8,2,13,25
8,3,13,25
7,4,9,26
8,4,9,26
7,7,11,29
7,8,11,29
8,8,13,32
9,8,13,32
9,1,17,33
9,2,17,33
9,3,6,34
9,4,6,34
3,4,17,11
4,4,17,11
1,7,6,6
2,7,6,6
2,8,6,6
3,1,15,8
3,2,15,8
4,1,15,8
4,7,14,15
4,8,14,15
4,9,14,15
5,3,18,17
5,4,18,17
6,3,18,17
5,8,8,20
5,9,8,20
6,9,8,20
6,1,7,21
7,1,7,21
8,1,7,21
6,2,11,22
7,2,11,22
7,3,11,22
6,6,20,24
6,7,20,24
6,8,20,24
7,9,12,30
8,9,12,30
9,9,12,30
8,6,17,31
8,7,17,31
9,7,17,31
1,2,24,2
1,3,24,2
2,2,24,2
2,3,24,2
1,8,26,7
1,9,26,7
2,9,26,7
3,9,26,7
7,5,18,27
8,5,18,27
9,5,18,27
9,6,18,27
