1,1,9,1
2,9,9,2
3,9,1,3
2,3,15,4
2,4,15,4
1,8,15,5
1,9,15,5
3,1,8,6
4,1,8,6
3,3,16,7
3,4,16,7
4,2,4,8
4,3,4,8
3,5,9,9
4,5,9,9
3,7,14,10
4,7,14,10
4,8,13,11
5,8,13,11
4,9,11,12
5,9,11,12
5,6,10,13
6,6,10,13
6,9,5,14
7,9,5,14
8,1,10,15
8,2,10,15
8,7,8,16
9,7,8,16
8,8,13,17
9,8,13,17
8,9,11,18
9,9,11,18
1,2,12,19
1,3,12,19
1,4,12,19
2,1,10,20
2,2,10,20
3,2,10,20
2,6,13,21
3,6,13,21
4,6,13,21
2,7,12,22
2,8,12,22
3,8,12,22
5,1,22,23
5,2,22,23
6,2,22,23
6,1,18,24
7,1,18,24
7,2,18,24
9,1,15,25
9,2,15,25
9,3,15,25
8,4,14,26
8,5,14,26
9,4,14,26
8,6,18,27
9,5,18,27
9,6,18,27
1,5,15,28
1,6,15,28
1,7,15,28
2,5,15,28
5,3,16,29
6,3,16,29
7,3,16,29
8,3,16,29
4,4,22,30
5,4,22,30
6,4,22,30
5,5,22,30
5,7,12,31
6,7,12,31
6,8,12,31
7,8,12,31
6,5,25,32
7,4,25,32
7,5,25,32
7,6,25,32
7,7,25,32
